,title,description,category_name,thumbnail,url,category_title_description,Text,k_means
0,Hannah Gadsby's Nakedy Nudes,Hannah Gadsby unravels the apparently simple practice of recreating our own nude human form. Taking a close look at one of the most enduring subjects in western art history.,documentary,https://cdn.iview.abc.net.au/thumbs/i/ac/AC1603H_5c3ec3155375e_1280.jpg,https://iview.abc.net.au/show/hannah-gadsby-s-nakedy-nudes,documentary Hannah Gadsby's Nakedy Nudes Hannah Gadsby unravels the apparently simple practice of recreating our own nude human form. Taking a close look at one of the most enduring subjects in western art history.,documentary hannah gadsbys nakedy nude hannah gadsby unravels apparently simple practice recreating nude human form taking close look one enduring subject western art history,6
1,That Christmas,"Eleven poignant, funny and powerful stories about Christmas like no other, told by the people who lived through them. Some of the storytellers are familiar faces, some are new.",documentary,https://cdn.iview.abc.net.au/thumbs/i/rn/RN1911H029S00_5fbf352f4954e_1920.jpg,https://iview.abc.net.au/show/that-christmas/video/RN1911H029S00,"documentary That Christmas Eleven poignant, funny and powerful stories about Christmas like no other, told by the people who lived through them. Some of the storytellers are familiar faces, some are new.",documentary christmas eleven poignant funny powerful story christmas like told people lived storyteller familiar face new,2
2,The Wimbledon Kidnapping,"Exploring the mysterious disappearance of Muriel McKay, the UK's first kidnapping case and one of the most infamous cases of mistaken identity.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3047A_6189d6d76e77e.jpg,https://iview.abc.net.au/show/wimbledon-kidnapping,"documentary The Wimbledon Kidnapping Exploring the mysterious disappearance of Muriel McKay, the UK's first kidnapping case and one of the most infamous cases of mistaken identity.",documentary wimbledon kidnapping exploring mysterious disappearance muriel mckay uk first kidnapping case one infamous case mistaken identity,6
3,EXPOSED: The Ghost Train Fire,"Exposing the truths behind the mystery of the Ghost Train Fire at Sydney's iconic Luna Park, award-winning journalist Caro Meldrum-Hanna returns for a ground-breaking three-part investigation.",documentary,https://cdn.iview.abc.net.au/thumbs/i/ns/NS2077H_6035a4e2b8df7_1280.jpg,https://iview.abc.net.au/show/exposed-the-ghost-train-fire,"documentary EXPOSED: The Ghost Train Fire Exposing the truths behind the mystery of the Ghost Train Fire at Sydney's iconic Luna Park, award-winning journalist Caro Meldrum-Hanna returns for a ground-breaking three-part investigation.",documentary exposed ghost train fire exposing truth behind mystery ghost train fire sydney iconic luna park awardwinning journalist caro meldrumhanna return groundbreaking threepart investigation,2
4,Muster Dogs,Five graziers from across Australia are given five Kelpie puppies from the same litter and set with the challenge of transforming these uniquely Australian dogs into champion muster dogs.,documentary,https://cdn.iview.abc.net.au/thumbs/i/rf/RF2003H_61b169765d01e.jpg,https://iview.abc.net.au/show/muster-dogs,documentary Muster Dogs Five graziers from across Australia are given five Kelpie puppies from the same litter and set with the challenge of transforming these uniquely Australian dogs into champion muster dogs.,documentary muster dog five grazier across australia given five kelpie puppy litter set challenge transforming uniquely australian dog champion muster dog,9
5,The Detectives,Follows Manchester's homicide detectives over the course of a year as they try to unravel complex cases in dramatic real time.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3122A_6170bee533656_1920.jpg,https://iview.abc.net.au/show/detectives,documentary The Detectives Follows Manchester's homicide detectives over the course of a year as they try to unravel complex cases in dramatic real time.,documentary detective follows manchester homicide detective course year try unravel complex case dramatic real time,2
6,Blue Water Empire,"A dramatised-documentary series giving a unique insight into the compelling history of the Torres Strait Islands, told through key stories by the men and women of the region.",documentary,https://cdn.iview.abc.net.au/thumbs/i/ip/IP1505Q_5d09b5345eb62_1280.jpg,https://iview.abc.net.au/show/blue-water-empire,"documentary Blue Water Empire A dramatised-documentary series giving a unique insight into the compelling history of the Torres Strait Islands, told through key stories by the men and women of the region.",documentary blue water empire dramatiseddocumentary series giving unique insight compelling history torres strait island told key story men woman region,9
7,Laura's Choice,"Laura Henkel is eccentric, outspoken, feisty and 90 years old. She has decided she wants to end her life on her own terms, and she asks her daughter Cathy and granddaughter Sam, both filmmakers, to make a film about it.",documentary,https://cdn.iview.abc.net.au/thumbs/i/dc/DC1917W_603da45a307d2.jpg,https://iview.abc.net.au/show/laura-s-choice,"documentary Laura's Choice Laura Henkel is eccentric, outspoken, feisty and 90 years old. She has decided she wants to end her life on her own terms, and she asks her daughter Cathy and granddaughter Sam, both filmmakers, to make a film about it.",documentary lauras choice laura henkel eccentric outspoken feisty 90 year old decided want end life term asks daughter cathy granddaughter sam filmmaker make film,2
8,David Attenborough's Great Barrier Reef,"Almost sixty years after his first visit to the Great Barrier Reef, David Attenborough embarks on a personal journey of discovery to understand how the Reef was created and meets the animals that call it home.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0220A_6123381823364_1920.jpg,https://iview.abc.net.au/show/david-attenborough-s-great-barrier-reef,"documentary David Attenborough's Great Barrier Reef Almost sixty years after his first visit to the Great Barrier Reef, David Attenborough embarks on a personal journey of discovery to understand how the Reef was created and meets the animals that call it home.",documentary david attenboroughs great barrier reef almost sixty year first visit great barrier reef david attenborough embarks personal journey discovery understand reef created meet animal call home,1
9,The Making Of David Attenborough's Conquest Of The Skies,Witness the incredible innovations and technical advancements that went into The Making Of David Attenborough's TV series Conquest Of The Skies.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9705A001S0054ebbdfac9aee6.67710749_1280.jpg,https://iview.abc.net.au/show/making-of-david-attenborough-s-conquest-of-the-skies/video/ZX9705A001S00,documentary The Making Of David Attenborough's Conquest Of The Skies Witness the incredible innovations and technical advancements that went into The Making Of David Attenborough's TV series Conquest Of The Skies.,documentary making david attenboroughs conquest sky witness incredible innovation technical advancement went making david attenboroughs tv series conquest sky,1
